M,mode,r,Y0,jump_weight,delta_aut,tau_proxy,eta_proxy,rel,kappa_eq,n_modes,n_pts,factor_vs_col,seconds,d_T1,d_R,d_TiR,d_S
48,collocation,6.0,0.8,2.0,3.3860083861393275,0.23882880225186104,3.6248371883911887,0.03926321322955739,25.469133006342915,144,196,1.0,0.34014391899108887,2.9980753509019143e-14,3.3860083861393253,3.3860083861393275,0.43196670408801013
48,multi,6.0,0.8,2.0,0.4430981134973416,0.11280526429791267,0.5559033777952542,0.01854507121329002,53.92268320239,144,260,7.641667348600983,0.6655247211456299,5.67450538079252e-15,0.44309811349734035,0.4430981134973416,0.023009575385455307
48,periodize,6.0,0.8,2.0,0.08838726566504562,0.11280526429791267,0.20119252996295828,0.01854507121329002,53.92268320239,144,260,38.308780803006414,1.542123556137085,1.9919938694736652e-15,0.08838726566504562,0.08838726566504296,0.011262553307163768
64,collocation,6.0,0.8,2.0,16.209387427586737,0.21035678024325036,16.419744207829986,0.03458244164480595,28.91640822446651,196,324,1.0,0.4281466007232666,2.9800744111913754e-14,16.209387427586737,16.209387427586737,0.85535649353169
64,multi,6.0,0.8,2.0,0.862038392945071,0.12402772047586799,0.986066113420939,0.020390031644024625,49.04357273486889,196,388,18.803556268774674,0.87373948097229,6.451447083946025e-15,0.862038392945071,0.8620383929450695,0.011372770457101989
64,periodize,6.0,0.8,2.0,0.1736544197400985,0.12402772047586799,0.2976821402159665,0.020390031644024625,49.04357273486889,196,388,93.3427865057893,2.50498104095459,8.931384091359704e-15,0.17365441974009807,0.1736544197400985,0.009887865262226805
100,collocation,6.0,0.8,2.0,25.867088459064377,0.1444759572730387,26.011564416337414,0.02375170106565963,42.102247634204474,316,484,1.0,1.3685142993927002,1.0984203033974828e-13,25.867088459064366,25.867088459064377,0.6221861600287809
100,multi,6.0,0.8,2.0,1.7130038068412128,0.08073972070759378,1.7937435275488065,0.013273528319645803,75.33791889530428,316,548,15.100426721621483,2.602871894836426,3.3309582998341775e-14,1.7130038068412128,1.7130038068412095,0.019309230447331977
100,periodize,6.0,0.8,2.0,0.343829537195533,0.08073972070759378,0.4245692579031268,0.013273528319645803,75.33791889530428,316,548,75.23230456013434,7.5808351039886475,2.2501795378207787e-14,0.343829537195533,0.34382953719552906,0.005354989102311121
